statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
31,2020,2,587,0.006884682,0.025817556,0.00172117,0.005347594,0.02406417,0,0.008196721,0.036885247,0.00409836,0.39837807,0.36110917,0.44869485,243180,NE,NEBRASKA
32,2020,2,611,0.009884679,0.075782537,0.001647446,0.007874016,0.081364833,0.002624672,0.015564202,0.08560311,0,0.18983521,0.16938397,0.21146238,449514,NV,NEVADA
33,2020,2,483,0.00625,0.041666668,0,0.006535948,0.05882353,0,0.004149378,0.012448133,0,0.34849349,0.3432205,0.36368915,187588,NH,NEW HAMPSHIRE
34,2020,2,2309,0.005644811,0.044290055,0.001736865,0.003240441,0.044069994,0.000648088,0.008857396,0.044286981,0.002657219,0.26686242,0.24221374,0.28575984,1278532,NJ,NEW JERSEY
35,2020,2,724,0.032033425,0.11699165,0.006963789,0.024038462,0.098557696,0.004807693,0.044776119,0.13731343,0.008955224,0.19515371,0.20934756,0.18289101,305459,NM,NEW MEXICO
36,2020,2,4472,0.011023622,0.048593927,0.001799775,0.011877394,0.059386972,0.002681992,0.00968829,0.038753159,0.00126369,0.24865335,0.21725029,0.27856618,2586757,NY,NEW YORK
37,2020,2,2554,0.018039215,0.084313728,0.003529412,0.02077922,0.098701298,0.004545454,0.020341741,0.068348251,0.004068348,0.19626454,0.16263209,0.22680418,1548582,NC,NORTH CAROLINA
38,2020,2,459,0.024122806,0.072368421,0.002192983,0.029411765,0.088235296,0.003676471,0.035999998,0.092,0.004,0.27457342,0.25637832,0.28117564,107318,ND,NORTH DAKOTA
39,2020,2,3349,0.014683847,0.045849565,0.002697033,0.017386723,0.048472077,0.004214963,0.013800425,0.050424628,0.002123142,0.34146708,0.32002494,0.34491304,1683843,OH,OHIO
40,2020,2,1670,0.015653221,0.062612884,0.001204094,0.020277482,0.072572038,0.002134472,0.015655577,0.063600786,0.000978474,0.30666414,0.2814852,0.34301782,674253,OK,OKLAHOMA
41,2020,2,1203,0.01336675,0.04010025,0.004177109,0.015873017,0.043650795,0.005291005,0.017377567,0.044233806,0.004739337,0.36236021,0.3355571,0.38765791,561994,OR,OREGON
42,2020,2,2758,0.010556972,0.036403351,0.002184201,0.011309524,0.040476192,0.001785714,0.008474576,0.033898305,0.001412429,0.35225338,0.33190128,0.35953468,1634349,PA,PENNSYLVANIA
44,2020,2,298,0.010067114,0.070469797,0.003355705,0.010928961,0.060109291,0.005464481,0.008064516,0.088709675,0,0.27685091,0.25406951,0.31119803,141793,RI,RHODE ISLAND
45,2020,2,1203,0.013344454,0.034195162,0.004170142,0.009615385,0.027472528,0.002747253,0.016245488,0.045126352,0.005415163,0.36314893,0.33430469,0.39169002,767415,SC,SOUTH CAROLINA
46,2020,2,584,0.035460994,0.078014188,0.003546099,0.052238807,0.097014926,0.003731343,0.037940379,0.100271,0.005420054,0.40863344,0.33845279,0.40740901,130984,SD,SOUTH DAKOTA
47,2020,2,1745,0.008041356,0.053417575,0.00229753,0.008538899,0.039848197,0.001897533,0.008247423,0.068041235,0.002061856,0.32914236,0.33746821,0.34410682,1005803,TN,TENNESSEE
48,2020,2,8190,0.012153204,0.057574268,0.002577952,0.011408421,0.055590127,0.00248911,0.014248705,0.062435232,0.003626943,0.22500786,0.20965561,0.24909395,5193987,TX,TEXAS
49,2020,2,937,0.011777302,0.047109209,0.005353319,0.012820513,0.044871796,0.004807693,0.01010101,0.047979798,0.005050505,0.25921738,0.26439783,0.23846908,637478,UT,UTAH
50,2020,2,288,0.031468533,0.13286713,0,0.036585364,0.12804878,0,0.037383176,0.13084112,0,0.17456202,0.17153268,0.22408012,79236,VT,VERMONT
51,2020,2,1872,0.005350455,0.031032639,0.001070091,0.006178288,0.035304502,0.000882613,0.005333333,0.022666667,0.001333333,0.30671185,0.28794354,0.3463698,1257256,VA,VIRGINIA
53,2020,2,2141,0.010900474,0.044549763,0.004265403,0.01027668,0.041897234,0.003952569,0.010956176,0.045816734,0.00498008,0.40034631,0.37719089,0.44031599,1071369,WA,WASHINGTON
54,2020,2,645,0.018750001,0.056249999,0.0015625,0.025252525,0.06818182,0.002525253,0.006289308,0.03773585,0,0.39410666,0.34937471,0.47898686,259026,WV,WEST VIRGINIA
55,2020,2,2124,0.008068344,0.035595633,0.001423825,0.006462036,0.039579969,0.000807754,0.01,0.033636365,0.001818182,0.3495445,0.31845096,0.37476811,852320,WI,WISCONSIN
56,2020,2,324,0.015923567,0.073248409,0.003184713,0.016483517,0.07692308,0.005494506,0.012048192,0.084337346,0,0.37398031,0.36728594,0.36649016,93493,WY,WYOMING
1,2020,3,1384,0.024691358,0.12926652,0.002904866,0.021383647,0.10440251,0.001257862,0.026957639,0.14634146,0.005134788,0.10458606,0.12236951,0.09331955,763927,AL,ALABAMA
2,2020,3,387,0.15706806,0.513089,0.023560209,0.17518248,0.51459855,0.02919708,0.15510204,0.48571429,0.03265306,-0.17900132,-0.16963561,-0.1463127,121628,AK,ALASKA
4,2020,3,1843,0.08976464,0.38861522,0.012041599,0.083127573,0.38271606,0.004115226,0.095557421,0.39145014,0.015926236,-0.14070198,-0.12598886,-0.1419374,1101968,AZ,ARIZONA
